Virus,Strain or Antigen,GenBank Accession No.
ZIKV,H/PF/2013,KJ776791
ZIKV,MR 766 Uganda,AY632535
ZIKV,ArD128000,KF383117
ZIKV,ArD157995,KF383118
ZIKV,PRVABC59,KU501215
ZIKV,Peptide #1 identified in peptide array,
ZIKV,Peptide #2 identified in peptide array,
DENV-1,Myanmar 1996,AY722802
DENV-1,Western Pacific,U88536
DENV-1,DENV-1/BR/BID-V2401/2008,FJ850093
DENV-2,Burkina Faso 1983,EU056810
DENV-2,16803,GU28991
DENV-2,NewGuineaC,AF038403
DENV-2,DENV-2/BR/BID-V3653/2008,GU13188
DENV-3,Mozambique 1985,FJ882575
DENV-3,DENV-3/BR/BID-V2403/2008,FJ850094
DENV-4,P73-1120,JF262780
DENV-4,H7813632011,JQ513345
DENV-4,BR/SJRP/850/2013,KP188566
WNV,NY99,DQ211652
WNV,WN02,KR868734
YFV,Uganda1948a,AY968065
YFV,"BeH655417, 2002",JF912190
JEV,"Laos, 2009",KC196115
TBEV,MDJ-03,JF316708
CHIKV,KPA15,HQ456254
CHIKV,"TR206/H804187, 2014",KP164572
ONNV,SG650,AF07945
RVFV,Kenya 9800523,"DQ380169, DQ375400"
Malaria,"HRP-II, Kenya",FJ871238
HIV-1,V3,
HIV-1,MPER,
HIV-1,Gp41 immunodominant,
HIV-1,C5 immunodominant,
HIV-1,Full-length HIV,
HIV-1,Full-length Q23,AF004885
HIV-1,BF520.W14M.C2,KX168094
HIV-1,BG505.W6.C2,DQ208458
HIV-1,QA013 initial Env,FJ866134
HIV-1,QA013 SI Env,FJ396015
HIV-1,QB850 intial Env,
HIV-1,QB850 SI Env,
HIV-1,Q461.d1 Env,AF40715
HIV-1,QC406.F3 Env,FJ866133
Rhinovirus B,Xu et al Rhinovirus B epitope,
